tconst,title,year,genres,rating,votes,clean_title,description
tt0096754,The Abyss,1989,"Adventure,Drama,Mystery",7.5,206912.0,the abyss,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it."
tt0128445,Rushmore,1998,"Comedy,Drama,Romance",7.6,206844.0,rushmore,"When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention."
tt0106697,Demolition Man,1993,"Action,Sci-Fi,Thriller",6.7,206833.0,demolition man,"In 1996, brash L.A. detective John Spartan and maniac killer Simon Phoenix are both sentenced to decades in a cryogenic prison as punishment for a rescue mission gone wrong. When Phoenix escapes 36 years later to wreak havoc on the future, Spartan is awakened to capture his nemesis the old-fashioned way."
tt0112851,Desperado,1995,"Action,Crime,Drama",7.1,206754.0,desperado,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood."
tt0106308,Army of Darkness,1992,"Comedy,Horror",7.4,206385.0,army of darkness,"Ash, a handsome, shotgun-toting, chainsaw-armed department store clerk, is time warped backwards into England's Dark Ages, where he romances a beauty and faces legions of the undead."
tt3104988,Crazy Rich Asians,2018,"Comedy,Drama,Romance",6.9,206353.0,crazy rich asians,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous."
tt0375912,Layer Cake,2004,"Crime,Drama,Thriller",7.2,206267.0,layer cake,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin..."
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,"Adventure,Drama,Family",6.7,206082.0,miss peregrine's home for peculiar children,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.
tt0122690,Ronin,1998,"Action,Crime,Thriller",7.2,205948.0,ronin,"A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case."
tt0160127,Charlie's Angels,2000,"Action,Adventure,Comedy",5.6,205736.0,charlie's angels,"The captivating crime-fighting trio who are masters of disguise, espionage and martial arts are back! When a devious mastermind embroils them in a plot to destroy individual privacy, the Angels, aided by their loyal sidekick Bosley, set out to bring down the bad guys. But when a terrible secret is revealed, it makes the Angels targets for assassination."
tt0810819,The Danish Girl,2015,"Biography,Drama",7.1,205543.0,the danish girl,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer."
tt0266308,Battle Royale,2000,"Action,Drama,Thriller",7.5,205350.0,battle royale,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
tt4701182,Bumblebee,2018,"Action,Adventure,Sci-Fi",6.7,205228.0,bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug."
tt7405458,A Man Called Otto,2022,"Comedy,Drama",7.5,204964.0,a man called otto,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down."
tt2333784,The Expendables 3,2014,"Action,Adventure,Comedy",6.1,204535.0,the expendables 3,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet."
tt0108160,Sleepless in Seattle,1993,"Comedy,Drama,Romance",6.8,204501.0,sleepless in seattle,"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Across the country, an engaged woman becomes convinced that they belong together, despite their never having met. Will their paths collide despite the odds?"
tt0455590,The Last King of Scotland,2006,"Biography,Drama,History",7.6,204315.0,the last king of scotland,"Young Scottish doctor, Nicholas Garrigan decides it's time for an adventure after he finishes his formal education, so he decides to try his luck in Uganda, and arrives during the downfall of President Obote. General Idi Amin comes to power and asks Garrigan to become his personal doctor."
tt17009710,Anatomy of a Fall,2023,"Crime,Drama,Mystery",7.6,203569.0,anatomy of a fall,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness."
tt1070874,The Trial of the Chicago 7,2020,"Drama,History,Thriller",7.7,203532.0,the trial of the chicago 7,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.
